id_odsp,id_event,sort_order,time,text,event_type,event_type2,side,event_team,opponent,player,player2,player_in,player_out,shot_place,shot_outcome,is_goal,location,bodypart,assist_method,situation,fast_break
jVjGKCZS/,jVjGKCZS44,44,41,Foul by Gaetan Bussmann (1. FSV Mainz 05).,3,,1,Mainz,FC Cologne,gaetan bussmann,,,,,,0,,,0,,0
jVjGKCZS/,jVjGKCZS45,45,41,Gaetan Bussmann (1. FSV Mainz 05) is shown the yellow card for a bad foul.,4,,1,Mainz,FC Cologne,gaetan bussmann,,,,,,0,,,0,,0
jVjGKCZS/,jVjGKCZS46,46,42,Attempt saved. Pablo De Blasis (1. FSV Mainz 05) right footed shot from the centre of the box is saved in the top centre of the goal. Assisted by Levin Oztunali.,1,12.0,1,Mainz,FC Cologne,pablo de blasis,levin oztunali,,,11.0,1.0,0,3.0,1.0,1,1.0,0
jVjGKCZS/,jVjGKCZS47,47,44,Hand ball by Fabian Frei (1. FSV Mainz 05).,10,,1,Mainz,FC Cologne,fabian frei,,,,,,0,,,0,,0
jVjGKCZS/,jVjGKCZS48,48,45,Attempt missed. Anthony Modeste (1. FC Koln) header from the centre of the box is just a bit too high. Assisted by Marco Hoger.,1,12.0,2,FC Cologne,Mainz,anthony modeste,marco hoger,,,1.0,2.0,0,3.0,3.0,1,1.0,0
jVjGKCZS/,jVjGKCZS52,52,46,Offside: 1. FC Koln. Dominic Maroh tries a through ball: but Anthony Modeste is caught offside.,9,13.0,2,FC Cologne,Mainz,anthony modeste,dominic maroh,,,,,0,,,0,,0
jVjGKCZS/,jVjGKCZS53,53,48,Foul by Dominique Heintz (1. FC Koln).,3,,2,FC Cologne,Mainz,dominique heintz,,,,,,0,,,0,,0
jVjGKCZS/,jVjGKCZS54,54,48,Levin Oztunali (1. FSV Mainz 05) wins a free kick in the defensive half.,8,,1,Mainz,FC Cologne,levin oztunali,,,,,,0,2.0,,0,,0
jVjGKCZS/,jVjGKCZS55,55,49,Corner:  1. FSV Mainz 05. Conceded by Dominic Maroh.,2,,1,Mainz,FC Cologne,,,,,,,0,,,0,,0
jVjGKCZS/,jVjGKCZS56,56,50,Attempt saved. Pablo De Blasis (1. FSV Mainz 05) header from the centre of the box is saved in the bottom left corner. Assisted by Levin Oztunali with a cross.,1,12.0,1,Mainz,FC Cologne,pablo de blasis,levin oztunali,,,3.0,1.0,0,3.0,3.0,2,1.0,0
